,confirmed,country,date,deaths,recovered,region,sub-region,active,cfr,confirmed_pct_change,recovered_pct_change,deaths_pct_change
0,0,Afghanistan,2020-01-22,0,0,Asia,Southern Asia,0,0.0,,,
1,0,Afghanistan,2020-01-23,0,0,Asia,Southern Asia,0,0.0,,,
2,0,Afghanistan,2020-01-24,0,0,Asia,Southern Asia,0,0.0,,,
3,0,Afghanistan,2020-01-25,0,0,Asia,Southern Asia,0,0.0,,,
4,0,Afghanistan,2020-01-26,0,0,Asia,Southern Asia,0,0.0,,,
5,0,Afghanistan,2020-01-27,0,0,Asia,Southern Asia,0,0.0,,,
6,0,Afghanistan,2020-01-28,0,0,Asia,Southern Asia,0,0.0,,,
7,0,Afghanistan,2020-01-29,0,0,Asia,Southern Asia,0,0.0,,,
8,0,Afghanistan,2020-01-30,0,0,Asia,Southern Asia,0,0.0,,,
9,0,Afghanistan,2020-01-31,0,0,Asia,Southern Asia,0,0.0,,,
10,0,Afghanistan,2020-02-01,0,0,Asia,Southern Asia,0,0.0,,,
11,0,Afghanistan,2020-02-02,0,0,Asia,Southern Asia,0,0.0,,,
12,0,Afghanistan,2020-02-03,0,0,Asia,Southern Asia,0,0.0,,,
13,0,Afghanistan,2020-02-04,0,0,Asia,Southern Asia,0,0.0,,,
14,0,Afghanistan,2020-02-05,0,0,Asia,Southern Asia,0,0.0,,,
15,0,Afghanistan,2020-02-06,0,0,Asia,Southern Asia,0,0.0,,,
16,0,Afghanistan,2020-02-07,0,0,Asia,Southern Asia,0,0.0,,,
17,0,Afghanistan,2020-02-08,0,0,Asia,Southern Asia,0,0.0,,,
18,0,Afghanistan,2020-02-09,0,0,Asia,Southern Asia,0,0.0,,,
19,0,Afghanistan,2020-02-10,0,0,Asia,Southern Asia,0,0.0,,,
20,0,Afghanistan,2020-02-11,0,0,Asia,Southern Asia,0,0.0,,,
21,0,Afghanistan,2020-02-12,0,0,Asia,Southern Asia,0,0.0,,,
22,0,Afghanistan,2020-02-13,0,0,Asia,Southern Asia,0,0.0,,,
23,0,Afghanistan,2020-02-14,0,0,Asia,Southern Asia,0,0.0,,,
24,0,Afghanistan,2020-02-15,0,0,Asia,Southern Asia,0,0.0,,,
25,0,Afghanistan,2020-02-16,0,0,Asia,Southern Asia,0,0.0,,,
26,0,Afghanistan,2020-02-17,0,0,Asia,Southern Asia,0,0.0,,,
27,0,Afghanistan,2020-02-18,0,0,Asia,Southern Asia,0,0.0,,,
28,0,Afghanistan,2020-02-19,0,0,Asia,Southern Asia,0,0.0,,,
29,0,Afghanistan,2020-02-20,0,0,Asia,Southern Asia,0,0.0,,,
30,0,Afghanistan,2020-02-21,0,0,Asia,Southern Asia,0,0.0,,,
31,0,Afghanistan,2020-02-22,0,0,Asia,Southern Asia,0,0.0,,,
32,0,Afghanistan,2020-02-23,0,0,Asia,Southern Asia,0,0.0,,,
33,1,Afghanistan,2020-02-24,0,0,Asia,Southern Asia,1,0.0,,,
34,1,Afghanistan,2020-02-25,0,0,Asia,Southern Asia,1,0.0,,,
35,1,Afghanistan,2020-02-26,0,0,Asia,Southern Asia,1,0.0,,,
36,1,Afghanistan,2020-02-27,0,0,Asia,Southern Asia,1,0.0,,,
37,1,Afghanistan,2020-02-28,0,0,Asia,Southern Asia,1,0.0,,,
38,1,Afghanistan,2020-02-29,0,0,Asia,Southern Asia,1,0.0,,,
39,1,Afghanistan,2020-03-01,0,0,Asia,Southern Asia,1,0.0,,,
40,1,Afghanistan,2020-03-02,0,0,Asia,Southern Asia,1,0.0,,,
41,1,Afghanistan,2020-03-03,0,0,Asia,Southern Asia,1,0.0,,,
42,1,Afghanistan,2020-03-04,0,0,Asia,Southern Asia,1,0.0,,,
43,1,Afghanistan,2020-03-05,0,0,Asia,Southern Asia,1,0.0,,,
44,1,Afghanistan,2020-03-06,0,0,Asia,Southern Asia,1,0.0,,,
45,1,Afghanistan,2020-03-07,0,0,Asia,Southern Asia,1,0.0,,,
46,4,Afghanistan,2020-03-08,0,0,Asia,Southern Asia,4,0.0,1.0,,
47,4,Afghanistan,2020-03-09,0,0,Asia,Southern Asia,4,0.0,1.0,,
48,5,Afghanistan,2020-03-10,0,0,Asia,Southern Asia,5,0.0,0.9443818679227306,,
49,7,Afghanistan,2020-03-11,0,0,Asia,Southern Asia,7,0.0,3.534393638845037,,
50,7,Afghanistan,2020-03-12,0,0,Asia,Southern Asia,7,0.0,3.534393638845037,,
51,7,Afghanistan,2020-03-13,0,0,Asia,Southern Asia,7,0.0,5.537949624792162,,
52,11,Afghanistan,2020-03-14,0,0,Asia,Southern Asia,11,0.0,3.975530340482442,,
53,16,Afghanistan,2020-03-15,0,0,Asia,Southern Asia,16,0.0,2.356404459741883,,
54,21,Afghanistan,2020-03-16,0,1,Asia,Southern Asia,20,0.0,1.8789039236582001,,
55,22,Afghanistan,2020-03-17,0,1,Asia,Southern Asia,21,0.0,2.885222854883006,,
56,22,Afghanistan,2020-03-18,0,1,Asia,Southern Asia,21,0.0,6.114343832619227,,
57,22,Afghanistan,2020-03-19,0,1,Asia,Southern Asia,21,0.0,44.013936308547514,,
58,24,Afghanistan,2020-03-20,0,1,Asia,Southern Asia,23,0.0,23.21870619960046,,
59,24,Afghanistan,2020-03-21,0,1,Asia,Southern Asia,23,0.0,23.21870619960046,,
60,0,Africa(Total),2020-01-22,0,0,Africa,,0,0.0,,,
61,0,Africa(Total),2020-01-23,0,0,Africa,,0,0.0,,,
62,0,Africa(Total),2020-01-24,0,0,Africa,,0,0.0,,,
63,0,Africa(Total),2020-01-25,0,0,Africa,,0,0.0,,,
64,0,Africa(Total),2020-01-26,0,0,Africa,,0,0.0,,,
65,0,Africa(Total),2020-01-27,0,0,Africa,,0,0.0,,,
66,0,Africa(Total),2020-01-28,0,0,Africa,,0,0.0,,,
67,0,Africa(Total),2020-01-29,0,0,Africa,,0,0.0,,,
68,0,Africa(Total),2020-01-30,0,0,Africa,,0,0.0,,,
69,0,Africa(Total),2020-01-31,0,0,Africa,,0,0.0,,,
70,0,Africa(Total),2020-02-01,0,0,Africa,,0,0.0,,,
71,0,Africa(Total),2020-02-02,0,0,Africa,,0,0.0,,,
72,0,Africa(Total),2020-02-03,0,0,Africa,,0,0.0,,,
73,0,Africa(Total),2020-02-04,0,0,Africa,,0,0.0,,,
74,0,Africa(Total),2020-02-05,0,0,Africa,,0,0.0,,,
75,0,Africa(Total),2020-02-06,0,0,Africa,,0,0.0,,,
76,0,Africa(Total),2020-02-07,0,0,Africa,,0,0.0,,,
77,0,Africa(Total),2020-02-08,0,0,Africa,,0,0.0,,,
78,0,Africa(Total),2020-02-09,0,0,Africa,,0,0.0,,,
79,0,Africa(Total),2020-02-10,0,0,Africa,,0,0.0,,,
80,0,Africa(Total),2020-02-11,0,0,Africa,,0,0.0,,,
81,0,Africa(Total),2020-02-12,0,0,Africa,,0,0.0,,,
82,0,Africa(Total),2020-02-13,0,0,Africa,,0,0.0,,,
83,1,Africa(Total),2020-02-14,0,0,Africa,,1,0.0,,,
84,1,Africa(Total),2020-02-15,0,0,Africa,,1,0.0,,,
85,1,Africa(Total),2020-02-16,0,0,Africa,,1,0.0,,,
86,1,Africa(Total),2020-02-17,0,0,Africa,,1,0.0,,,
87,1,Africa(Total),2020-02-18,0,0,Africa,,1,0.0,,,
88,1,Africa(Total),2020-02-19,0,0,Africa,,1,0.0,,,
89,1,Africa(Total),2020-02-20,0,0,Africa,,1,0.0,,,
90,1,Africa(Total),2020-02-21,0,0,Africa,,1,0.0,,,
91,1,Africa(Total),2020-02-22,0,0,Africa,,1,0.0,,,
92,1,Africa(Total),2020-02-23,0,0,Africa,,1,0.0,,,
93,1,Africa(Total),2020-02-24,0,0,Africa,,1,0.0,,,
94,2,Africa(Total),2020-02-25,0,0,Africa,,2,0.0,2.4094208396532095,,
95,2,Africa(Total),2020-02-26,0,0,Africa,,2,0.0,2.4094208396532095,,
96,2,Africa(Total),2020-02-27,0,0,Africa,,2,0.0,2.4094208396532095,,
97,3,Africa(Total),2020-02-28,0,1,Africa,,2,0.0,4.496556105601925,,
98,3,Africa(Total),2020-02-29,0,1,Africa,,2,0.0,4.496556105601925,,
99,4,Africa(Total),2020-03-01,0,1,Africa,,3,0.0,2.827758770543464,,
100,8,Africa(Total),2020-03-02,0,1,Africa,,7,0.0,1.8849618465302416,,
101,11,Africa(Total),2020-03-03,0,1,Africa,,10,0.0,1.5378606821615561,,
102,21,Africa(Total),2020-03-04,0,1,Africa,,20,0.0,1.2244506335336949,,
103,24,Africa(Total),2020-03-05,0,1,Africa,,23,0.0,1.7814199708767138,,
104,43,Africa(Total),2020-03-06,0,1,Africa,,42,0.0,1.446923355117958,,
105,43,Africa(Total),2020-03-07,0,1,Africa,,42,0.0,2.5560638219795973,,
106,83,Africa(Total),2020-03-08,1,2,Africa,,80,1.2048192771084338,1.5281062651190862,2.4094208396532095,
107,91,Africa(Total),2020-03-09,1,2,Africa,,88,1.098901098901099,2.3551236978849173,2.4094208396532095,
108,104,Africa(Total),2020-03-10,2,2,Africa,,100,1.9230769230769231,2.1056917376026374,2.4094208396532095,2.4094208396532095
109,118,Africa(Total),2020-03-11,2,28,Africa,,88,1.694915254237288,5.901906186989325,0.4140722453786373,2.4094208396532095
110,134,Africa(Total),2020-03-12,3,36,Africa,,95,2.2388059701492535,5.373290397942078,0.4097399124818115,1.7095112913514547
111,181,Africa(Total),2020-03-13,6,37,Africa,,138,3.314917127071823,3.6844938917040317,0.4093275545401034,1.7095112913514547
112,259,Africa(Total),2020-03-14,7,41,Africa,,211,2.7027027027027026,2.5981497889121266,5.271239982940764,1.5687999067171656
113,320,Africa(Total),2020-03-15,8,35,Africa,,277,2.5,2.373998794117794,,1.9136340092701338
114,409,Africa(Total),2020-03-16,8,42,Africa,,359,1.9559902200488997,2.532214874842902,13.198115597130007,7.059098457698156
115,488,Africa(Total),2020-03-17,11,47,Africa,,430,2.2540983606557377,3.2764124270248587,12.383684752334089,4.352852748486288
116,609,Africa(Total),2020-03-18,17,48,Africa,,544,2.7914614121510675,3.225375596890824,6.450545940567989,2.590281460824514
117,788,Africa(Total),2020-03-19,20,68,Africa,,700,2.5380710659898478,3.162984802487898,4.070090619386844,2.2243030387065783
118,993,Africa(Total),2020-03-20,26,76,Africa,,891,2.6183282980866065,2.9256319601986642,4.079524550933657,2.364492551218648
119,1056,Africa(Total),2020-03-21,28,90,Africa,,938,2.6515151515151514,3.703171065172601,3.2282257406995636,4.094416813396447
120,0,Albania,2020-01-22,0,0,Europe,Southern Europe,0,0.0,,,
121,0,Albania,2020-01-23,0,0,Europe,Southern Europe,0,0.0,,,
122,0,Albania,2020-01-24,0,0,Europe,Southern Europe,0,0.0,,,
123,0,Albania,2020-01-25,0,0,Europe,Southern Europe,0,0.0,,,
124,0,Albania,2020-01-26,0,0,Europe,Southern Europe,0,0.0,,,
125,0,Albania,2020-01-27,0,0,Europe,Southern Europe,0,0.0,,,
126,0,Albania,2020-01-28,0,0,Europe,Southern Europe,0,0.0,,,
127,0,Albania,2020-01-29,0,0,Europe,Southern Europe,0,0.0,,,
128,0,Albania,2020-01-30,0,0,Europe,Southern Europe,0,0.0,,,
129,0,Albania,2020-01-31,0,0,Europe,Southern Europe,0,0.0,,,
130,0,Albania,2020-02-01,0,0,Europe,Southern Europe,0,0.0,,,
131,0,Albania,2020-02-02,0,0,Europe,Southern Europe,0,0.0,,,
132,0,Albania,2020-02-03,0,0,Europe,Southern Europe,0,0.0,,,
133,0,Albania,2020-02-04,0,0,Europe,Southern Europe,0,0.0,,,
134,0,Albania,2020-02-05,0,0,Europe,Southern Europe,0,0.0,,,
135,0,Albania,2020-02-06,0,0,Europe,Southern Europe,0,0.0,,,
136,0,Albania,2020-02-07,0,0,Europe,Southern Europe,0,0.0,,,
137,0,Albania,2020-02-08,0,0,Europe,Southern Europe,0,0.0,,,
138,0,Albania,2020-02-09,0,0,Europe,Southern Europe,0,0.0,,,
139,0,Albania,2020-02-10,0,0,Europe,Southern Europe,0,0.0,,,
140,0,Albania,2020-02-11,0,0,Europe,Southern Europe,0,0.0,,,
141,0,Albania,2020-02-12,0,0,Europe,Southern Europe,0,0.0,,,
142,0,Albania,2020-02-13,0,0,Europe,Southern Europe,0,0.0,,,
143,0,Albania,2020-02-14,0,0,Europe,Southern Europe,0,0.0,,,
144,0,Albania,2020-02-15,0,0,Europe,Southern Europe,0,0.0,,,
145,0,Albania,2020-02-16,0,0,Europe,Southern Europe,0,0.0,,,
146,0,Albania,2020-02-17,0,0,Europe,Southern Europe,0,0.0,,,
147,0,Albania,2020-02-18,0,0,Europe,Southern Europe,0,0.0,,,
148,0,Albania,2020-02-19,0,0,Europe,Southern Europe,0,0.0,,,
149,0,Albania,2020-02-20,0,0,Europe,Southern Europe,0,0.0,,,
150,0,Albania,2020-02-21,0,0,Europe,Southern Europe,0,0.0,,,
151,0,Albania,2020-02-22,0,0,Europe,Southern Europe,0,0.0,,,
152,0,Albania,2020-02-23,0,0,Europe,Southern Europe,0,0.0,,,
153,0,Albania,2020-02-24,0,0,Europe,Southern Europe,0,0.0,,,
154,0,Albania,2020-02-25,0,0,Europe,Southern Europe,0,0.0,,,
155,0,Albania,2020-02-26,0,0,Europe,Southern Europe,0,0.0,,,
156,0,Albania,2020-02-27,0,0,Europe,Southern Europe,0,0.0,,,
157,0,Albania,2020-02-28,0,0,Europe,Southern Europe,0,0.0,,,
158,0,Albania,2020-02-29,0,0,Europe,Southern Europe,0,0.0,,,
159,0,Albania,2020-03-01,0,0,Europe,Southern Europe,0,0.0,,,
160,0,Albania,2020-03-02,0,0,Europe,Southern Europe,0,0.0,,,
161,0,Albania,2020-03-03,0,0,Europe,Southern Europe,0,0.0,,,
162,0,Albania,2020-03-04,0,0,Europe,Southern Europe,0,0.0,,,
163,0,Albania,2020-03-05,0,0,Europe,Southern Europe,0,0.0,,,
164,0,Albania,2020-03-06,0,0,Europe,Southern Europe,0,0.0,,,
165,0,Albania,2020-03-07,0,0,Europe,Southern Europe,0,0.0,,,
166,0,Albania,2020-03-08,0,0,Europe,Southern Europe,0,0.0,,,
167,2,Albania,2020-03-09,0,0,Europe,Southern Europe,2,0.0,,,
168,10,Albania,2020-03-10,0,0,Europe,Southern Europe,10,0.0,0.8180678991012518,,
169,12,Albania,2020-03-11,1,0,Europe,Southern Europe,11,8.333333333333332,0.7917440691885577,,
170,23,Albania,2020-03-12,1,0,Europe,Southern Europe,22,4.3478260869565215,0.6964152678530507,,
171,33,Albania,2020-03-13,1,0,Europe,Southern Europe,32,3.0303030303030303,1.662887749783632,,
172,38,Albania,2020-03-14,1,0,Europe,Southern Europe,37,2.631578947368421,1.7067392550746745,,
173,42,Albania,2020-03-15,1,0,Europe,Southern Europe,41,2.380952380952381,3.341481364855268,,
174,51,Albania,2020-03-16,1,0,Europe,Southern Europe,50,1.9607843137254901,4.752502158903022,,
175,55,Albania,2020-03-17,1,0,Europe,Southern Europe,54,1.8181818181818181,5.564366908446259,,
176,59,Albania,2020-03-18,2,0,Europe,Southern Europe,57,3.389830508474576,6.030108175752121,,2.4094208396532095
177,64,Albania,2020-03-19,2,0,Europe,Southern Europe,62,3.125,9.156965026597032,,2.4094208396532095
178,70,Albania,2020-03-20,2,0,Europe,Southern Europe,68,2.857142857142857,8.619201485791226,,2.4094208396532095
179,70,Albania,2020-03-21,2,2,Europe,Southern Europe,66,2.857142857142857,11.993044354940892,,
180,0,Algeria,2020-01-22,0,0,Africa,Northern Africa,0,0.0,,,
181,0,Algeria,2020-01-23,0,0,Africa,Northern Africa,0,0.0,,,
182,0,Algeria,2020-01-24,0,0,Africa,Northern Africa,0,0.0,,,
183,0,Algeria,2020-01-25,0,0,Africa,Northern Africa,0,0.0,,,
184,0,Algeria,2020-01-26,0,0,Africa,Northern Africa,0,0.0,,,
185,0,Algeria,2020-01-27,0,0,Africa,Northern Africa,0,0.0,,,
186,0,Algeria,2020-01-28,0,0,Africa,Northern Africa,0,0.0,,,
187,0,Algeria,2020-01-29,0,0,Africa,Northern Africa,0,0.0,,,
188,0,Algeria,2020-01-30,0,0,Africa,Northern Africa,0,0.0,,,
