,confirmed,country,date,deaths,recovered,region,sub-region,active,cfr
0,0,Afghanistan,2020-01-22,0,0,Asia,Southern Asia,0,0.0
1,0,Afghanistan,2020-01-23,0,0,Asia,Southern Asia,0,0.0
2,0,Afghanistan,2020-01-24,0,0,Asia,Southern Asia,0,0.0
3,0,Afghanistan,2020-01-25,0,0,Asia,Southern Asia,0,0.0
4,0,Afghanistan,2020-01-26,0,0,Asia,Southern Asia,0,0.0
5,0,Afghanistan,2020-01-27,0,0,Asia,Southern Asia,0,0.0
6,0,Afghanistan,2020-01-28,0,0,Asia,Southern Asia,0,0.0
7,0,Afghanistan,2020-01-29,0,0,Asia,Southern Asia,0,0.0
8,0,Afghanistan,2020-01-30,0,0,Asia,Southern Asia,0,0.0
9,0,Afghanistan,2020-01-31,0,0,Asia,Southern Asia,0,0.0
10,0,Afghanistan,2020-02-01,0,0,Asia,Southern Asia,0,0.0
21,0,Afghanistan,2020-02-02,0,0,Asia,Southern Asia,0,0.0
32,0,Afghanistan,2020-02-03,0,0,Asia,Southern Asia,0,0.0
33,0,Afghanistan,2020-02-04,0,0,Asia,Southern Asia,0,0.0
34,0,Afghanistan,2020-02-05,0,0,Asia,Southern Asia,0,0.0
35,0,Afghanistan,2020-02-06,0,0,Asia,Southern Asia,0,0.0
36,0,Afghanistan,2020-02-07,0,0,Asia,Southern Asia,0,0.0
37,0,Afghanistan,2020-02-08,0,0,Asia,Southern Asia,0,0.0
38,0,Afghanistan,2020-02-09,0,0,Asia,Southern Asia,0,0.0
11,0,Afghanistan,2020-02-10,0,0,Asia,Southern Asia,0,0.0
12,0,Afghanistan,2020-02-11,0,0,Asia,Southern Asia,0,0.0
13,0,Afghanistan,2020-02-12,0,0,Asia,Southern Asia,0,0.0
14,0,Afghanistan,2020-02-13,0,0,Asia,Southern Asia,0,0.0
15,0,Afghanistan,2020-02-14,0,0,Asia,Southern Asia,0,0.0
16,0,Afghanistan,2020-02-15,0,0,Asia,Southern Asia,0,0.0
17,0,Afghanistan,2020-02-16,0,0,Asia,Southern Asia,0,0.0
18,0,Afghanistan,2020-02-17,0,0,Asia,Southern Asia,0,0.0
19,0,Afghanistan,2020-02-18,0,0,Asia,Southern Asia,0,0.0
20,0,Afghanistan,2020-02-19,0,0,Asia,Southern Asia,0,0.0
22,0,Afghanistan,2020-02-20,0,0,Asia,Southern Asia,0,0.0
23,0,Afghanistan,2020-02-21,0,0,Asia,Southern Asia,0,0.0
24,0,Afghanistan,2020-02-22,0,0,Asia,Southern Asia,0,0.0
25,0,Afghanistan,2020-02-23,0,0,Asia,Southern Asia,0,0.0
26,1,Afghanistan,2020-02-24,0,0,Asia,Southern Asia,1,0.0
27,1,Afghanistan,2020-02-25,0,0,Asia,Southern Asia,1,0.0
28,1,Afghanistan,2020-02-26,0,0,Asia,Southern Asia,1,0.0
29,1,Afghanistan,2020-02-27,0,0,Asia,Southern Asia,1,0.0
30,1,Afghanistan,2020-02-28,0,0,Asia,Southern Asia,1,0.0
31,1,Afghanistan,2020-02-29,0,0,Asia,Southern Asia,1,0.0
39,1,Afghanistan,2020-03-01,0,0,Asia,Southern Asia,1,0.0
45,1,Afghanistan,2020-03-02,0,0,Asia,Southern Asia,1,0.0
46,1,Afghanistan,2020-03-03,0,0,Asia,Southern Asia,1,0.0
47,1,Afghanistan,2020-03-04,0,0,Asia,Southern Asia,1,0.0
48,1,Afghanistan,2020-03-05,0,0,Asia,Southern Asia,1,0.0
49,1,Afghanistan,2020-03-06,0,0,Asia,Southern Asia,1,0.0
50,1,Afghanistan,2020-03-07,0,0,Asia,Southern Asia,1,0.0
51,4,Afghanistan,2020-03-08,0,0,Asia,Southern Asia,4,0.0
52,4,Afghanistan,2020-03-09,0,0,Asia,Southern Asia,4,0.0
40,5,Afghanistan,2020-03-10,0,0,Asia,Southern Asia,5,0.0
41,7,Afghanistan,2020-03-11,0,0,Asia,Southern Asia,7,0.0
42,7,Afghanistan,2020-03-12,0,0,Asia,Southern Asia,7,0.0
43,7,Afghanistan,2020-03-13,0,0,Asia,Southern Asia,7,0.0
44,11,Afghanistan,2020-03-14,0,0,Asia,Southern Asia,11,0.0
7077,16,Afghanistan,2020-03-15,0,1,Asia,Southern Asia,15,0.0
7136,0,Africa(Total),2020-01-22,0,0,Africa,,0,0.0
7137,0,Africa(Total),2020-01-23,0,0,Africa,,0,0.0
7138,0,Africa(Total),2020-01-24,0,0,Africa,,0,0.0
7139,0,Africa(Total),2020-01-25,0,0,Africa,,0,0.0
7140,0,Africa(Total),2020-01-26,0,0,Africa,,0,0.0
7141,0,Africa(Total),2020-01-27,0,0,Africa,,0,0.0
7142,0,Africa(Total),2020-01-28,0,0,Africa,,0,0.0
7143,0,Africa(Total),2020-01-29,0,0,Africa,,0,0.0
7144,0,Africa(Total),2020-01-30,0,0,Africa,,0,0.0
7145,0,Africa(Total),2020-01-31,0,0,Africa,,0,0.0
7146,0,Africa(Total),2020-02-01,0,0,Africa,,0,0.0
7147,0,Africa(Total),2020-02-02,0,0,Africa,,0,0.0
7148,0,Africa(Total),2020-02-03,0,0,Africa,,0,0.0
7149,0,Africa(Total),2020-02-04,0,0,Africa,,0,0.0
7150,0,Africa(Total),2020-02-05,0,0,Africa,,0,0.0
7151,0,Africa(Total),2020-02-06,0,0,Africa,,0,0.0
7152,0,Africa(Total),2020-02-07,0,0,Africa,,0,0.0
7153,0,Africa(Total),2020-02-08,0,0,Africa,,0,0.0
7154,0,Africa(Total),2020-02-09,0,0,Africa,,0,0.0
7155,0,Africa(Total),2020-02-10,0,0,Africa,,0,0.0
7156,0,Africa(Total),2020-02-11,0,0,Africa,,0,0.0
7157,0,Africa(Total),2020-02-12,0,0,Africa,,0,0.0
7158,0,Africa(Total),2020-02-13,0,0,Africa,,0,0.0
7159,1,Africa(Total),2020-02-14,0,0,Africa,,1,0.0
7160,1,Africa(Total),2020-02-15,0,0,Africa,,1,0.0
7161,1,Africa(Total),2020-02-16,0,0,Africa,,1,0.0
7162,1,Africa(Total),2020-02-17,0,0,Africa,,1,0.0
7163,1,Africa(Total),2020-02-18,0,0,Africa,,1,0.0
7164,1,Africa(Total),2020-02-19,0,0,Africa,,1,0.0
7165,1,Africa(Total),2020-02-20,0,0,Africa,,1,0.0
7166,1,Africa(Total),2020-02-21,0,0,Africa,,1,0.0
7167,1,Africa(Total),2020-02-22,0,0,Africa,,1,0.0
7168,1,Africa(Total),2020-02-23,0,0,Africa,,1,0.0
7169,1,Africa(Total),2020-02-24,0,0,Africa,,1,0.0
7170,2,Africa(Total),2020-02-25,0,0,Africa,,2,0.0
7171,2,Africa(Total),2020-02-26,0,0,Africa,,2,0.0
7172,2,Africa(Total),2020-02-27,0,0,Africa,,2,0.0
7173,3,Africa(Total),2020-02-28,0,1,Africa,,2,0.0
7174,3,Africa(Total),2020-02-29,0,1,Africa,,2,0.0
7175,4,Africa(Total),2020-03-01,0,1,Africa,,3,0.0
7176,8,Africa(Total),2020-03-02,0,1,Africa,,7,0.0
7177,11,Africa(Total),2020-03-03,0,1,Africa,,10,0.0
7178,21,Africa(Total),2020-03-04,0,1,Africa,,20,0.0
7179,24,Africa(Total),2020-03-05,0,1,Africa,,23,0.0
7180,43,Africa(Total),2020-03-06,0,1,Africa,,42,0.0
7181,43,Africa(Total),2020-03-07,0,1,Africa,,42,0.0
7182,83,Africa(Total),2020-03-08,1,2,Africa,,80,1.2048192771084338
7183,91,Africa(Total),2020-03-09,1,2,Africa,,88,1.098901098901099
7184,104,Africa(Total),2020-03-10,2,2,Africa,,100,1.9230769230769231
7185,117,Africa(Total),2020-03-11,2,28,Africa,,87,1.7094017094017095
7186,133,Africa(Total),2020-03-12,3,36,Africa,,94,2.2556390977443606
7187,176,Africa(Total),2020-03-13,6,37,Africa,,133,3.4090909090909087
7188,253,Africa(Total),2020-03-14,7,41,Africa,,205,2.766798418972332
7189,299,Africa(Total),2020-03-15,8,41,Africa,,250,2.6755852842809364
53,0,Albania,2020-01-22,0,0,Europe,Southern Europe,0,0.0
54,0,Albania,2020-01-23,0,0,Europe,Southern Europe,0,0.0
55,0,Albania,2020-01-24,0,0,Europe,Southern Europe,0,0.0
56,0,Albania,2020-01-25,0,0,Europe,Southern Europe,0,0.0
57,0,Albania,2020-01-26,0,0,Europe,Southern Europe,0,0.0
58,0,Albania,2020-01-27,0,0,Europe,Southern Europe,0,0.0
59,0,Albania,2020-01-28,0,0,Europe,Southern Europe,0,0.0
60,0,Albania,2020-01-29,0,0,Europe,Southern Europe,0,0.0
61,0,Albania,2020-01-30,0,0,Europe,Southern Europe,0,0.0
62,0,Albania,2020-01-31,0,0,Europe,Southern Europe,0,0.0
63,0,Albania,2020-02-01,0,0,Europe,Southern Europe,0,0.0
74,0,Albania,2020-02-02,0,0,Europe,Southern Europe,0,0.0
85,0,Albania,2020-02-03,0,0,Europe,Southern Europe,0,0.0
86,0,Albania,2020-02-04,0,0,Europe,Southern Europe,0,0.0
87,0,Albania,2020-02-05,0,0,Europe,Southern Europe,0,0.0
88,0,Albania,2020-02-06,0,0,Europe,Southern Europe,0,0.0
89,0,Albania,2020-02-07,0,0,Europe,Southern Europe,0,0.0
90,0,Albania,2020-02-08,0,0,Europe,Southern Europe,0,0.0
91,0,Albania,2020-02-09,0,0,Europe,Southern Europe,0,0.0
64,0,Albania,2020-02-10,0,0,Europe,Southern Europe,0,0.0
65,0,Albania,2020-02-11,0,0,Europe,Southern Europe,0,0.0
66,0,Albania,2020-02-12,0,0,Europe,Southern Europe,0,0.0
67,0,Albania,2020-02-13,0,0,Europe,Southern Europe,0,0.0
68,0,Albania,2020-02-14,0,0,Europe,Southern Europe,0,0.0
69,0,Albania,2020-02-15,0,0,Europe,Southern Europe,0,0.0
70,0,Albania,2020-02-16,0,0,Europe,Southern Europe,0,0.0
71,0,Albania,2020-02-17,0,0,Europe,Southern Europe,0,0.0
72,0,Albania,2020-02-18,0,0,Europe,Southern Europe,0,0.0
73,0,Albania,2020-02-19,0,0,Europe,Southern Europe,0,0.0
75,0,Albania,2020-02-20,0,0,Europe,Southern Europe,0,0.0
76,0,Albania,2020-02-21,0,0,Europe,Southern Europe,0,0.0
77,0,Albania,2020-02-22,0,0,Europe,Southern Europe,0,0.0
78,0,Albania,2020-02-23,0,0,Europe,Southern Europe,0,0.0
79,0,Albania,2020-02-24,0,0,Europe,Southern Europe,0,0.0
80,0,Albania,2020-02-25,0,0,Europe,Southern Europe,0,0.0
81,0,Albania,2020-02-26,0,0,Europe,Southern Europe,0,0.0
82,0,Albania,2020-02-27,0,0,Europe,Southern Europe,0,0.0
83,0,Albania,2020-02-28,0,0,Europe,Southern Europe,0,0.0
84,0,Albania,2020-02-29,0,0,Europe,Southern Europe,0,0.0
92,0,Albania,2020-03-01,0,0,Europe,Southern Europe,0,0.0
98,0,Albania,2020-03-02,0,0,Europe,Southern Europe,0,0.0
99,0,Albania,2020-03-03,0,0,Europe,Southern Europe,0,0.0
100,0,Albania,2020-03-04,0,0,Europe,Southern Europe,0,0.0
101,0,Albania,2020-03-05,0,0,Europe,Southern Europe,0,0.0
102,0,Albania,2020-03-06,0,0,Europe,Southern Europe,0,0.0
103,0,Albania,2020-03-07,0,0,Europe,Southern Europe,0,0.0
104,0,Albania,2020-03-08,0,0,Europe,Southern Europe,0,0.0
105,2,Albania,2020-03-09,0,0,Europe,Southern Europe,2,0.0
93,10,Albania,2020-03-10,0,0,Europe,Southern Europe,10,0.0
94,12,Albania,2020-03-11,1,0,Europe,Southern Europe,11,8.333333333333332
95,23,Albania,2020-03-12,1,0,Europe,Southern Europe,22,4.3478260869565215
96,33,Albania,2020-03-13,1,0,Europe,Southern Europe,32,3.0303030303030303
97,38,Albania,2020-03-14,1,0,Europe,Southern Europe,37,2.631578947368421
7056,42,Albania,2020-03-15,1,0,Europe,Southern Europe,41,2.380952380952381
106,0,Algeria,2020-01-22,0,0,Africa,Northern Africa,0,0.0
107,0,Algeria,2020-01-23,0,0,Africa,Northern Africa,0,0.0
108,0,Algeria,2020-01-24,0,0,Africa,Northern Africa,0,0.0
109,0,Algeria,2020-01-25,0,0,Africa,Northern Africa,0,0.0
110,0,Algeria,2020-01-26,0,0,Africa,Northern Africa,0,0.0
111,0,Algeria,2020-01-27,0,0,Africa,Northern Africa,0,0.0
112,0,Algeria,2020-01-28,0,0,Africa,Northern Africa,0,0.0
113,0,Algeria,2020-01-29,0,0,Africa,Northern Africa,0,0.0
114,0,Algeria,2020-01-30,0,0,Africa,Northern Africa,0,0.0
115,0,Algeria,2020-01-31,0,0,Africa,Northern Africa,0,0.0
116,0,Algeria,2020-02-01,0,0,Africa,Northern Africa,0,0.0
127,0,Algeria,2020-02-02,0,0,Africa,Northern Africa,0,0.0
138,0,Algeria,2020-02-03,0,0,Africa,Northern Africa,0,0.0
139,0,Algeria,2020-02-04,0,0,Africa,Northern Africa,0,0.0
140,0,Algeria,2020-02-05,0,0,Africa,Northern Africa,0,0.0
141,0,Algeria,2020-02-06,0,0,Africa,Northern Africa,0,0.0
142,0,Algeria,2020-02-07,0,0,Africa,Northern Africa,0,0.0
143,0,Algeria,2020-02-08,0,0,Africa,Northern Africa,0,0.0
144,0,Algeria,2020-02-09,0,0,Africa,Northern Africa,0,0.0
117,0,Algeria,2020-02-10,0,0,Africa,Northern Africa,0,0.0
118,0,Algeria,2020-02-11,0,0,Africa,Northern Africa,0,0.0
119,0,Algeria,2020-02-12,0,0,Africa,Northern Africa,0,0.0
120,0,Algeria,2020-02-13,0,0,Africa,Northern Africa,0,0.0
121,0,Algeria,2020-02-14,0,0,Africa,Northern Africa,0,0.0
122,0,Algeria,2020-02-15,0,0,Africa,Northern Africa,0,0.0
123,0,Algeria,2020-02-16,0,0,Africa,Northern Africa,0,0.0
124,0,Algeria,2020-02-17,0,0,Africa,Northern Africa,0,0.0
125,0,Algeria,2020-02-18,0,0,Africa,Northern Africa,0,0.0
126,0,Algeria,2020-02-19,0,0,Africa,Northern Africa,0,0.0
128,0,Algeria,2020-02-20,0,0,Africa,Northern Africa,0,0.0
129,0,Algeria,2020-02-21,0,0,Africa,Northern Africa,0,0.0
130,0,Algeria,2020-02-22,0,0,Africa,Northern Africa,0,0.0
131,0,Algeria,2020-02-23,0,0,Africa,Northern Africa,0,0.0
132,0,Algeria,2020-02-24,0,0,Africa,Northern Africa,0,0.0
133,1,Algeria,2020-02-25,0,0,Africa,Northern Africa,1,0.0
134,1,Algeria,2020-02-26,0,0,Africa,Northern Africa,1,0.0
135,1,Algeria,2020-02-27,0,0,Africa,Northern Africa,1,0.0
136,1,Algeria,2020-02-28,0,0,Africa,Northern Africa,1,0.0
137,1,Algeria,2020-02-29,0,0,Africa,Northern Africa,1,0.0
145,1,Algeria,2020-03-01,0,0,Africa,Northern Africa,1,0.0
151,3,Algeria,2020-03-02,0,0,Africa,Northern Africa,3,0.0
152,5,Algeria,2020-03-03,0,0,Africa,Northern Africa,5,0.0
153,12,Algeria,2020-03-04,0,0,Africa,Northern Africa,12,0.0
154,12,Algeria,2020-03-05,0,0,Africa,Northern Africa,12,0.0
155,17,Algeria,2020-03-06,0,0,Africa,Northern Africa,17,0.0
156,17,Algeria,2020-03-07,0,0,Africa,Northern Africa,17,0.0
157,19,Algeria,2020-03-08,0,0,Africa,Northern Africa,19,0.0
158,20,Algeria,2020-03-09,0,0,Africa,Northern Africa,20,0.0
146,20,Algeria,2020-03-10,0,0,Africa,Northern Africa,20,0.0
147,20,Algeria,2020-03-11,0,0,Africa,Northern Africa,20,0.0
148,24,Algeria,2020-03-12,1,8,Africa,Northern Africa,15,4.166666666666666
149,26,Algeria,2020-03-13,2,8,Africa,Northern Africa,16,7.6923076923076925
150,37,Algeria,2020-03-14,3,12,Africa,Northern Africa,22,8.108108108108109
7049,48,Algeria,2020-03-15,4,10,Africa,Northern Africa,34,8.333333333333332
7190,1,Americas(Total),2020-01-22,0,0,Americas,,1,0.0
7191,1,Americas(Total),2020-01-23,0,0,Americas,,1,0.0
7192,2,Americas(Total),2020-01-24,0,0,Americas,,2,0.0
7193,2,Americas(Total),2020-01-25,0,0,Americas,,2,0.0
7194,6,Americas(Total),2020-01-26,0,0,Americas,,6,0.0
