"","nation","confederation","firsts","seconds","thirds","fourths"
"1","Afghanistan","AFC","[  ]","[  ]","[  ]","[  ]"
"2","Albania","UEFA","[  ]","[  ]","[  ]","[  ]"
"3","Algeria","CAF","[  ]","[  ]","[  ]","[  ]"
"4","American Samoa","OFC","[  ]","[  ]","[  ]","[  ]"
"5","Andorra","UEFA","[  ]","[  ]","[  ]","[  ]"
"6","Angola","CAF","[  ]","[  ]","[  ]","[  ]"
"7","Anguilla","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"8","Antigua and Barbuda","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"9","Argentina","CONMEBOL","[ 1978,1986 ]","[ 1930,1990,2014 ]","[  ]","[  ]"
"10","Armenia","UEFA","[  ]","[  ]","[  ]","[  ]"
"11","Aruba","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"12","Australia","AFC","[  ]","[  ]","[  ]","[  ]"
"13","Austria","UEFA","[  ]","[  ]","[ 1954 ]","[ 1934 ]"
"14","Azerbaijan","UEFA","[  ]","[  ]","[  ]","[  ]"
"15","Bahamas","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"16","Bahrain","AFC","[  ]","[  ]","[  ]","[  ]"
"17","Bangladesh","AFC","[  ]","[  ]","[  ]","[  ]"
"18","Barbados","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"19","Belarus","UEFA","[  ]","[  ]","[  ]","[  ]"
"20","Belgium","UEFA","[  ]","[  ]","[  ]","[ 1986 ]"
"21","Belize","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"22","Benin","CAF","[  ]","[  ]","[  ]","[  ]"
"23","Bermuda","CONCACAF","[  ]","[  ]","[  ]","[  ]"
"24","Bhutan","AFC","[  ]","[  ]","[  ]","[  ]"
"25","Bolivia","CONMEBOL","[  ]","[  ]","[  ]","[  ]"
"26","Bosnia and Herzegovina","UEFA","[  ]","[  ]","[  ]","[  ]"
"27","Botswana","CAF","[  ]","[  ]","[  ]","[  ]"
"28","Brazil","CONMEBOL","[ 1958,1962,1970,1994,2002 ]","[ 1950,1998 ]","[ 1938,1978 ]","[ 1974,2014 ]"
"29","British Virgin Islands","CONCACAF","[  ]","[  ]","[  ]","[  ]"
